class,confidence,lat,lon,mission_type,risk_level,source
smoke,0.5,32.93575,3.22977,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.92993,3.22927,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.92936,3.23904,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.842,3.23736,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.54613,6.53722,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.51719,6.70983,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.74596,3.18216,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.74072,3.17183,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.95694,11.14517,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.35658,6.97499,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.55441,3.16401,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.55412,3.1688,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.40474,4.00274,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.17232,7.05745,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.40518,4.00538,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.13613,6.47028,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.05545,7.02409,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.2788,3.98344,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.27851,3.98768,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.3184,11.8058,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.31854,11.80321,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.96041,5.21591,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.84746,6.05221,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.83581,6.13346,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.80528,5.99581,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.80034,6.05289,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.78951,6.06435,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.85145,5.0556,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.84627,5.055,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.75289,5.22504,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.70018,5.8061,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.69031,5.80487,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.66915,6.05496,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.66483,6.04797,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.66376,6.06053,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.65013,5.98871,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.64472,5.99448,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.63601,5.98057,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,31.63336,5.98183,SURVEY,MEDIUM,firms_viirs_noaa20
